               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
84,0.026236,0.023901,0.0019051,0.78519,0.81283,0.77463,0.46983,0.031368,0.030036,0.0059385,0.007261,0.007261,0.007261
85,0.025679,0.024258,0.0019333,0.81133,0.80887,0.79213,0.5009,0.03052,0.030306,0.0056738,0.007228,0.007228,0.007228
86,0.026073,0.023184,0.0016429,0.85225,0.78806,0.80684,0.47977,0.030627,0.029367,0.0050795,0.007195,0.007195,0.007195
87,0.025389,0.024128,0.0016233,0.78092,0.7801,0.80159,0.50353,0.030581,0.029622,0.0050275,0.007162,0.007162,0.007162
88,0.02548,0.024896,0.0017321,0.85226,0.75385,0.81919,0.5002,0.030274,0.028511,0.0057519,0.007129,0.007129,0.007129
89,0.025679,0.025761,0.0016894,0.6955,0.85251,0.78897,0.46892,0.029998,0.029105,0.0058211,0.007096,0.007096,0.007096
90,0.025279,0.023058,0.0014479,0.81304,0.80412,0.81793,0.49507,0.031533,0.029432,0.0053662,0.007063,0.007063,0.007063
91,0.025496,0.023021,0.0016437,0.79848,0.8297,0.82449,0.54445,0.028815,0.029029,0.0056229,0.00703,0.00703,0.00703
92,0.025069,0.023731,0.0015518,0.93686,0.65978,0.77433,0.47726,0.030969,0.030863,0.0058156,0.006997,0.006997,0.006997
93,0.025897,0.025427,0.0015701,0.95501,0.69351,0.78019,0.50096,0.028995,0.029577,0.0062591,0.006964,0.006964,0.006964
94,0.025299,0.023689,0.0015556,0.82056,0.68722,0.74991,0.46165,0.030897,0.029701,0.0068513,0.006931,0.006931,0.006931
95,0.024812,0.023498,0.0017813,0.82027,0.72826,0.79414,0.50906,0.029782,0.029057,0.0062094,0.006898,0.006898,0.006898
96,0.025048,0.02442,0.0016816,0.7723,0.75316,0.81133,0.51412,0.030421,0.02956,0.0058274,0.006865,0.006865,0.006865
97,0.024083,0.022654,0.0016056,0.85238,0.68563,0.81143,0.49506,0.030483,0.02974,0.0050477,0.006832,0.006832,0.006832
98,0.024561,0.02236,0.0015127,0.84787,0.76923,0.81756,0.50457,0.029922,0.029331,0.004926,0.006799,0.006799,0.006799
99,0.02456,0.023385,0.0014963,0.883,0.80764,0.82505,0.49669,0.03035,0.031422,0.0039668,0.006766,0.006766,0.006766
100,0.023907,0.023016,0.0014475,0.88474,0.78339,0.84271,0.53673,0.030674,0.031133,0.0047882,0.006733,0.006733,0.006733
101,0.023916,0.022172,0.0014001,0.97106,0.71363,0.83405,0.52224,0.03066,0.030427,0.0055316,0.0067,0.0067,0.0067
102,0.023848,0.021332,0.0012263,0.87936,0.79779,0.86372,0.55604,0.029913,0.029556,0.0044248,0.006667,0.006667,0.006667
